stim_on_time_ms,stim_off_time_ms,stim_on_delay_ms,stimulus_size_degrees,fixation_window_size_degrees,fixation_point_size_degrees,stim_id,stim_current,stimulus_presented,fixation_correct,stimulus_order_in_trial,samp_on_us,photodiode_on_us
100.0,100.0,300.0,8,2,0.2,a-022,24,20,1,4,199288450,199294400
100.0,100.0,300.0,8,2,0.2,d-025,24,21,0,5,199623600,199619000
100.0,100.0,300.0,8,2,0.2,d-025,24,21,1,1,206894050,206882300
100.0,100.0,300.0,8,2,0.2,d-008,16,22,1,2,207229300,207232850
100.0,100.0,300.0,8,2,0.2,a-031,32,23,1,3,207563600,207554150
100.0,100.0,300.0,8,2,0.2,b-031,16,24,1,4,207895750,207882750
100.0,100.0,300.0,8,2,0.2,b-000,48,25,1,5,208229450,208226600
100.0,100.0,300.0,8,2,0.2,d-005,40,26,1,6,208562900,208578200
100.0,100.0,300.0,8,2,0.2,a-028,32,27,1,7,208896100,208901200
100.0,100.0,300.0,8,2,0.2,d-018,16,28,1,8,209229700,209219550
100.0,100.0,300.0,8,2,0.2,a-024,16,29,1,1,216921500,216921150
100.0,100.0,300.0,8,2,0.2,d-000,32,30,1,2,217254700,217242150
100.0,100.0,300.0,8,2,0.2,d-025,8,31,1,3,217587900,217592000
100.0,100.0,300.0,8,2,0.2,a-016,40,32,1,4,217921400,217913800
100.0,100.0,300.0,8,2,0.2,d-010,16,33,1,5,218255600,218265500
100.0,100.0,300.0,8,2,0.2,b-000,32,34,1,6,218588050,218585200
100.0,100.0,300.0,8,2,0.2,b-031,24,35,1,7,218922550,218907900
100.0,100.0,300.0,8,2,0.2,d-005,4,36,1,8,219254700,219259600
100.0,100.0,300.0,8,2,0.2,d-018,4,37,1,1,229079850,229098500
100.0,100.0,300.0,8,2,0.2,a-024,4,38,1,2,229413400,229399700
100.0,100.0,300.0,8,2,0.2,d-000,24,39,1,3,229747050,229738800
100.0,100.0,300.0,8,2,0.2,a-000,8,40,1,4,230079000,230070450
100.0,100.0,300.0,8,2,0.2,d-008,32,41,0,5,230415000,230410850
100.0,100.0,300.0,8,2,0.2,d-008,32,41,1,1,237804700,237792700
100.0,100.0,300.0,8,2,0.2,a-028,8,42,1,2,238137600,238138950
100.0,100.0,300.0,8,2,0.2,d-016,48,43,1,3,238471600,238464050
100.0,100.0,300.0,8,2,0.2,a-031,40,44,1,4,238805100,238810150
100.0,100.0,300.0,8,2,0.2,a-022,8,45,1,5,239138000,239132250
100.0,100.0,300.0,8,2,0.2,d-005,32,46,1,6,239472600,239460500
100.0,100.0,300.0,8,2,0.2,d-010,24,47,1,7,239805450,239802900
100.0,100.0,300.0,8,2,0.2,d-018,8,48,1,8,240138700,240155350
